guid;title;brand;link;price;description;image_link;in_stock;category;pub_date;gender;size
017945;Perfect Boost;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.at/perfect-boost;26,50 EUR;Die Mascara-Base Perfect Boost optimiert nicht nur das Tuschergebnis der Wimpern, sie sorgt auch für extensive Verlängerung und maximales Volumen – in minimaler Zeit.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/perfect_boost_247649_8ml_aaf55ce.jpg/perfect_boost_247649_8ml_aaf55ce.jpg;Y;Home | Default Category > Make-Up > Farbe > champagner | Default Category > Make-Up > Make-up-Art > Mascara | Default Category > Make-Up > Kategorie > Augen;2025-07-15T09:37:42.603Z;Für Sie;8 ml
016399;Eyeshadow Pen Smoky Topaz;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.at/eyeshadow-pen?childSku=4040218791099;23,00 EUR;Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg;Y;Home | Default Category > Make-Up > Make-up-Art > Lidschatten | Default Category > Make-Up > Kategorie > Augen | Default Category > Make-Up > Farbe > grau  >  silber;2025-07-15T09:37:42.604Z;Für Sie;1,4 g
016301;Eyeshadow Pen Cloudy Lilac;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.at/eyeshadow-pen?childSku=4040218829099;23,00 EUR;Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/e/y/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg;Y;Home | Default Category > Make-Up > Farbe > violett | Default Category > Make-Up > Make-up-Art > Lidschatten | Default Category > Make-Up > Kategorie > Augen | Default Category > Make-Up > Farbe > grau  >  silber;2025-07-15T09:37:42.604Z;Für Sie;1,4 g
002396;Sun Care Body Lotion SPF 50;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.at/sun-care-body-lotion-spf-50;54,00 EUR;Mit einer Kombination aus effektiven, hoch dosierten UV-Filtern und zellaktiven natürlichen Wirkstoffen schützt die wasserfeste, parfumfreie Sonnenmilch die Haut vor sonnenbedingter Schädigung.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/u/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg;Y;Home | Default Category > Haut- & Körperpflege > Typ > anspruchsvolle Haut | Default Category > Haut- & Körperpflege > Typ > empfindliche Haut | Default Category > Haut- & Körperpflege > Typ > feuchtigkeitsarme Haut | Default Category > Haut- & Körperpflege > Typ > fettige Haut | Default Category > Haut- & Körperpflege > Typ > Mischhaut | Default Category > Haut- & Körperpflege > Typ > normale Haut | Default Category > Haut- & Körperpflege > Typ > trockene Haut | Default Category > Haut- & Körperpflege > Typ > unreine Haut | Default Category > Haut- & Körperpflege > Bedürfnis > mehr Feuchtigkeit & Schutz | Default Category > Haut- & Körperpflege > Kategorie > Sonnenpflege | Default Category > Haut- & Körperpflege > Methode > Soleil;2025-07-15T09:37:42.604Z;;200 ml
120725;Spa Wellness Hair Shampoo;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.at/spa-wellness-hair-shampoo?childSku=4040218855999;24,50 EUR;Wellness-Shampoo für die tägliche Haarwäsche;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/s/p/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg;Y;Home | Default Category > Haarpflege > Methode > Spa | Default Category > Haarpflege > Kategorie > Shampoo;2025-07-15T09:37:42.605Z;;250 ml
120107;Glam+Colour Icy Crystal .07 .LV Colouring Conditioner;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.at/glam-colour-icy-crystal-07-lv-colouring-conditioner;29,50 EUR;Der pflegende, restrukturierende Farbconditioner mit Farbschutz und UV-Glanz-Komplex neutralisiert den Gelbstich und frischt den eisig kühlen Kristallreflex in blondiertem, coloriertem und naturblondem Haar auf.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/g/l/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg;Y;Home | Default Category > Haarpflege > Typ > gefärbte Haare | Default Category > Haarpflege > Methode > Glam Colour | Default Category > Haarpflege > Bedürfnis > Farbschutz / Farbauffrischung | Default Category > Haarpflege > Kategorie > Conditioner;2025-07-15T09:37:42.605Z;;150 ml
019055;Automatic Pencil for Lips LL32 Rosewood;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.at/automatic-pencil-for-lips?childSku=4040218888799;24,50 EUR;Der wasserfeste Lippenkonturen-Stift zaubert wunderschöne, definierte Lippen.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/a/u/automatic_pencil_for_lips_ll32_rosewood_324093_0_35g_4be569d.jpg/automatic_pencil_for_lips_ll32_rosewood_324093_0_35g_4be569d.jpg;Y;Home | Default Category > Make-Up > Farbe >  nude | Default Category > Make-Up > Farbe > rosé | Default Category > Make-Up > Make-up-Art > Lippenkonturen | Default Category > Make-Up > Kategorie > Lippen;2025-07-15T09:37:42.605Z;;0,35 g
020607;Brilliant Nail Top Coat;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.at/brilliant-nail-top-coat;18,50 EUR;Glänzendes, schützendes und langanhaltendes Finish in einem: Brilliant Nail Top Coat wird als Überlack aufgetragen und verlängert die Haltbarkeit von Farblacken;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/b/r/brilliant_nail_top_coat_247759_9ml_d91b577.jpg/brilliant_nail_top_coat_247759_9ml_d91b577.jpg;Y;Home | Default Category > Make-Up > Farbe > transparent | Default Category > Make-Up > Make-up-Art > Nagelpflege | Default Category > Make-Up > Kategorie > Hände & Nägel;2025-07-15T09:37:42.606Z;Für Sie;9 ml
017524;Pencil for Eyes Violet Silk;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.at/pencil-for-eyes?childSku=4040218875898;21,50 EUR;Der herrlich sanfte Kajal lässt sich durch seine einzigartig geschmeidige Textur hochpräzise auftragen und verleiht den Augen eine natürlich wache Ausstrahlungskraft.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/p/e/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg;Y;Home | Default Category > Make-Up > Farbe > violett | Default Category > Make-Up > Make-up-Art > Kajal | Default Category > Make-Up > Kategorie > Augen;2025-07-15T09:37:42.606Z;;1,06 g
003939;Homme Hair Beard Body Wash;Laboratoire Biosthétique Kosmetik;https://www.labiosthetique.at/hair-beard-body-wash?childSku=4040218802597;10,00 EUR;3 in 1: Duschgel, Shampoo und Bartshampoo in einem. Dieses betörend duftende All in one-Produkt reinigt sanft und zuverlässig, während es mild Haut und Haar pflegt.;https://img.labiosthetique.de/live-ecs/resize-cover/500/0/h/o/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg;Y;Home | Default Category > Haarpflege > Typ > normale Kopfhaut | Default Category > Haarpflege > Typ > natürliche Haare | Default Category > Haarpflege > Methode > Homme | Default Category > Haarpflege > Bedürfnis > Reparieren & Regenerieren | Default Category > Haarpflege > Kategorie > Shampoo | Default Category > Haarpflege > Sonstiges > Reisegrößen | Default Category > Haut- & Körperpflege > Typ > normale Haut | Default Category > Haut- & Körperpflege > Bedürfnis > mehr Feuchtigkeit & Schutz | Default Category > Haut- & Körperpflege > Kategorie > Hand- & Körperpflege | Default Category > Haut- & Körperpflege > Methode > Homme | Default Category > Haut- & Körperpflege > Sonstiges > Reisegrößen;2025-07-15T09:37:42.607Z;Für Ihn;75 ml
