id,gtin,title,brand,link,price,description,image_link,availability,quantity_to_sell_on_facebook,fb_product_category,google_product_category,currency,custom_label_0,custom_label_1,custom_label_2,custom_label_3,size,gender,condition,shipping,override
016399,4040218791099,Eyeshadow Pen Smoky Topaz,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.at/eyeshadow-pen?childSku=4040218791099,23.00 EUR,"Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt",https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_smoky_topaz_247547_1_4g_967ad30.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-Up,,Topseller,,"1,4 g",female,new,AT:::0.00 EUR,AT
016301,4040218829099,Eyeshadow Pen Cloudy Lilac,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.at/eyeshadow-pen?childSku=4040218829099,23.00 EUR,"Als Lidschatten oder Eyeliner anwendbar: Eyeshadow Pen mit cremig weicher Textur, die sich einfach auftragen und verblenden lässt",https://image.labiosthetique.com/i/square-1440/m2-product:eyeshadow_pen_cloudy_lilac_247533_1_4g_3bfcefd.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-Up,,Topseller,,"1,4 g",female,new,AT:::0.00 EUR,AT
002396,4040218846799,Sun Care Body Lotion SPF 50,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.at/sun-care-body-lotion-spf-50,54.00 EUR,"<p>Mit einer Kombination aus effektiven, hoch dosierten UV-Filtern und zellaktiven natürlichen Wirkstoffen schützt die wasserfeste, parfumfreie Sonnenmilch die Gesichtshaut und den ganzen Körper vor sonnenbedingter Schädigung.</p>",https://image.labiosthetique.com/i/square-1440/m2-product:sun_care_body_lotion_spf_50_359049_200ml_eb1f61b.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Haut- & Körperpflege,Soleil,,,200 ml,unisex,new,AT:::0.00 EUR,AT
120725,4040218855999,Spa Wellness Hair Shampoo,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.at/spa-wellness-hair-shampoo?childSku=4040218855999,24.50 EUR,Wellness-Shampoo für die tägliche Haarwäsche,https://image.labiosthetique.com/i/square-1440/m2-product:spa_wellness_hair_shampoo_329927_250ml_6bca0d7.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Haarpflege,Spa,,,250 ml,unisex,new,AT:::0.00 EUR,AT
120107,4040218871999,Glam+Colour Icy Crystal .07 .LV Colouring Conditioner,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.at/glam-colour-icy-crystal-07-lv-colouring-conditioner,29.50 EUR,"Der pflegende, restrukturierende Farbconditioner mit Farbschutz und UV-Glanz-Komplex neutralisiert den Gelbstich und frischt den eisig kühlen Kristallreflex in blondiertem, coloriertem und naturblondem Haar auf.",https://image.labiosthetique.com/i/square-1440/m2-product:glam_colour_icy_crystal_.07_.lv_colouring_conditioner_381819_150ml_992a2dd.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > hair care & styling,Health & Beauty > Personal Care > Hair Care,EUR,Haarpflege,Glam Colour,,,150 ml,unisex,new,AT:::0.00 EUR,AT
019055,4040218888799,Automatic Pencil for Lips LL32 Rosewood,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.at/automatic-pencil-for-lips?childSku=4040218888799,24.50 EUR,"Der wasserfeste Lippenkonturen-Stift zaubert wunderschöne, definierte Lippen.",https://image.labiosthetique.com/i/square-1440/m2-product:automatic_pencil_for_lips_ll32_rosewood_247661_0_35g_bcf0a7c.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-Up,,,,"0,35 g",unisex,new,AT:::0.00 EUR,AT
020607,4040218789898,Brilliant Nail Top Coat,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.at/brilliant-nail-top-coat,18.50 EUR,"Glänzendes, schützendes und langanhaltendes Finish in einem: Brilliant Nail Top Coat wird als Überlack aufgetragen und verlängert die Haltbarkeit von Farblacken",https://image.labiosthetique.com/i/square-1440/m2-product:brilliant_nail_top_coat_247759_9ml_d91b577.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-Up,,,,9 ml,female,new,AT:::0.00 EUR,AT
017524,4040218875898,Pencil for Eyes Violet Silk,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.at/pencil-for-eyes?childSku=4040218875898,21.50 EUR,Der herrlich sanfte Kajal lässt sich durch seine einzigartig geschmeidige Textur hochpräzise auftragen und verleiht den Augen eine natürlich wache Ausstrahlungskraft.,https://image.labiosthetique.com/i/square-1440/m2-product:pencil_for_eyes_violet_silk_388826_1_06g_fdde857.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > makeup,Health & Beauty > Personal Care > Cosmetics > Makeup,EUR,Make-Up,,,,"1,06 g",unisex,new,AT:::0.00 EUR,AT
002142,4040218879698,Harmonising Wellness Tea Beutel,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.at/harmonising-wellness-tea?childSku=4040218879698,11.00 EUR,Der harmonisierende Wellness Tee bringt den Körper von innen in wohltuende Balance. Seine Zutaten aus kontrolliert biologischem Anbau sind von der beliebten Duftkomposition der Spa Körperpflege inspiriert.,https://image.labiosthetique.com/i/square-1440/m2-product:harmonising_wellness_tea_beutel_405842_30g_c63bcfe.jpg/feed-media.jpg,in stock,100,health & beauty > beauty > skin care,Health & Beauty > Personal Care > Cosmetics > Skin Care,EUR,Haut- & Körperpflege,Spa & Wellnesskörperpflege,,,30 g,unisex,new,AT:::0.00 EUR,AT
003939,4040218802597,Homme Hair Beard Body Wash,Laboratoire Biosthétique Kosmetik,https://www.labiosthetique.at/hair-beard-body-wash?childSku=4040218802597,10.00 EUR,"3 in 1: Duschgel, Shampoo und Bartshampoo in einem. Dieses betörend duftende All in one-Produkt reinigt sanft und zuverlässig, während es mild Haut und Haar pflegt.",https://image.labiosthetique.com/i/square-1440/m2-product:homme_hair_beard_body_wash_247993_75ml_39d6dd2.jpg/feed-media.jpg,in stock,100,"health & beauty > beauty > hair care & styling,health & beauty > beauty > skin care","Health & Beauty > Personal Care > Hair Care,Health & Beauty > Personal Care > Cosmetics > Skin Care",EUR,"Haarpflege,Haut- & Körperpflege",Homme,,,75 ml,male,new,AT:::0.00 EUR,AT
